inventory_id,product_id,stock_remaining,ware_house_id,restock_date
93,135,38,1,2024-02-04
94,424,69,3,2024-02-17
95,568,66,3,2024-02-04
96,639,93,2,2024-02-17
97,581,87,3,2024-03-01
98,676,33,5,2024-02-07
99,17,82,4,2024-02-26
100,689,88,2,2024-02-21
101,485,35,5,2024-02-12
102,335,92,2,2024-02-06
103,666,20,4,2024-02-25
104,250,64,5,2024-02-07
105,95,10,2,2024-02-08
106,237,66,3,2024-02-09
107,261,68,1,2024-02-09
108,767,25,5,2024-02-05
109,419,87,1,2024-02-12
110,623,44,1,2024-02-20
111,571,70,5,2024-02-27
112,279,30,3,2024-02-25
113,199,10,2,2024-02-23
114,522,98,5,2024-02-11
115,394,70,1,2024-02-25
116,492,91,4,2024-02-25
117,577,53,3,2024-03-01
118,130,17,3,2024-02-27
119,39,85,3,2024-02-28
120,194,62,2,2024-02-26
121,202,26,2,2024-02-18
122,36,72,3,2024-02-05
123,368,33,3,2024-02-15
124,522,51,2,2024-03-02
125,654,53,3,2024-02-08
126,612,91,5,2024-02-27
127,279,55,1,2024-02-16
128,198,98,2,2024-03-02
129,630,30,2,2024-02-06
130,564,78,1,2024-02-09
131,288,84,1,2024-02-18
132,193,27,1,2024-02-08
133,770,97,2,2024-02-12
134,78,26,1,2024-02-09
135,183,63,2,2024-02-14
136,527,62,4,2024-02-06
137,511,56,4,2024-02-20
138,439,49,2,2024-02-03
139,94,75,4,2024-02-27
140,719,94,2,2024-03-01
141,197,87,2,2024-02-26
142,614,14,1,2024-02-23
143,561,59,1,2024-02-24
144,586,34,1,2024-02-03
145,722,80,5,2024-02-10
146,69,44,3,2024-02-23
147,126,68,1,2024-02-28
148,395,30,2,2024-03-01
149,501,36,1,2024-02-28
150,256,48,4,2024-02-12
151,429,97,3,2024-02-28
152,257,15,3,2024-02-18
153,266,52,4,2024-02-17
154,583,16,2,2024-02-18
155,669,48,4,2024-02-10
156,333,86,4,2024-02-03
157,467,40,5,2024-02-13
158,205,83,3,2024-02-13
159,501,80,2,2024-02-22
160,756,38,3,2024-02-25
161,524,17,4,2024-02-08
162,98,92,2,2024-02-27
163,474,78,5,2024-02-05
164,795,86,4,2024-02-08
165,440,52,2,2024-02-26
166,451,12,2,2024-02-04
167,113,32,5,2024-02-26
168,63,84,3,2024-02-17
169,239,48,2,2024-02-11
170,478,74,5,2024-02-11
171,753,72,3,2024-02-04
172,130,56,2,2024-02-03
173,377,88,1,2024-02-02
174,85,36,1,2024-02-03
175,287,33,2,2024-02-21
176,400,77,1,2024-03-02
177,266,14,5,2024-03-02
178,373,21,5,2024-02-03
179,89,55,4,2024-02-23
180,160,73,4,2024-03-01
181,743,40,4,2024-02-07
182,141,13,5,2024-02-07
183,119,43,1,2024-02-03
184,101,26,3,2024-02-29
185,260,42,3,2024-02-09
186,544,51,3,2024-02-24
187,363,22,4,2024-02-03
188,251,76,3,2024-02-22
189,262,43,1,2024-02-15
190,254,56,3,2024-02-05
191,122,65,2,2024-02-02
192,580,26,5,2024-02-19
193,358,36,4,2024-02-02
194,585,66,5,2024-02-08
195,412,24,2,2024-02-17
196,210,63,1,2024-02-09
197,588,73,4,2024-02-23
198,32,80,2,2024-02-11
199,592,86,3,2024-02-03
200,313,54,2,2024-02-28
201,451,93,3,2024-02-12
202,267,36,1,2024-02-05
203,617,22,3,2024-02-26
204,268,92,3,2024-02-27
205,744,46,1,2024-02-25
206,370,85,5,2024-02-21
207,612,66,5,2024-02-11
208,651,100,1,2024-02-10
209,567,19,3,2024-02-25
210,380,10,4,2024-02-16
211,439,94,2,2024-02-23
212,11,35,2,2024-02-13
213,373,87,3,2024-02-10
214,657,25,1,2024-02-18
215,2,12,3,2024-02-13
216,576,16,2,2024-02-25
217,445,35,5,2024-02-15
218,353,41,1,2024-02-03
219,350,19,1,2024-02-04
220,123,50,2,2024-02-07
221,380,12,4,2024-02-23
222,761,20,3,2024-02-21
223,671,87,3,2024-02-10
224,253,22,5,2024-02-18
225,434,80,1,2024-02-24
226,651,95,3,2024-02-18
227,452,66,3,2024-03-02
228,226,80,2,2024-02-15
229,62,56,1,2024-02-02
230,289,65,4,2024-02-07
231,613,32,3,2024-02-13
232,674,66,4,2024-02-28
233,740,54,2,2024-02-17
234,741,15,4,2024-02-21
235,618,54,2,2024-02-07
236,119,39,3,2024-02-15
237,781,35,4,2024-03-01
238,439,16,3,2024-02-10
239,754,47,4,2024-02-24
240,356,63,5,2024-02-05
241,43,60,2,2024-02-17
242,762,35,5,2024-02-02
243,196,90,3,2024-02-15
244,341,73,4,2024-02-06
245,171,25,4,2024-02-05
246,358,31,3,2024-02-05
247,441,38,4,2024-02-11
248,482,47,5,2024-02-09
249,679,79,4,2024-02-18
250,496,88,1,2024-02-10
251,297,61,4,2024-02-27
252,511,20,4,2024-02-16
253,44,97,3,2024-02-21
254,425,75,3,2024-02-11
255,506,28,2,2024-02-21
256,433,64,4,2024-02-13
257,621,13,4,2024-02-05
258,222,76,1,2024-02-02
259,41,41,2,2024-03-02
260,174,92,3,2024-02-18
261,225,69,1,2024-03-01
262,95,30,5,2024-02-15
263,520,37,4,2024-02-29
264,530,44,5,2024-02-15
265,745,97,3,2024-03-01
266,723,90,4,2024-02-22
267,624,83,5,2024-02-20
268,269,58,5,2024-02-02
269,483,46,5,2024-02-23
270,159,92,4,2024-02-23
271,27,35,1,2024-02-09
272,722,30,4,2024-02-18
273,483,67,3,2024-02-12
274,112,43,4,2024-03-02
275,14,56,1,2024-02-13
276,51,58,3,2024-02-06
277,460,86,2,2024-02-10
278,51,80,2,2024-02-16
279,484,95,5,2024-02-25
280,3,94,3,2024-02-21
281,47,92,2,2024-02-14
282,579,96,1,2024-02-17
283,35,96,3,2024-02-25
284,255,13,4,2024-02-02
285,476,89,3,2024-02-23
286,691,65,4,2024-02-23
287,191,72,5,2024-02-15
288,685,90,2,2024-02-06
289,330,52,2,2024-03-01
290,645,38,1,2024-02-20
291,172,77,4,2024-02-25
292,592,31,5,2024-02-23
293,350,12,3,2024-02-18
294,344,31,1,2024-02-13
295,607,48,3,2024-02-23
296,52,69,2,2024-02-17
297,97,43,1,2024-02-17
298,485,26,1,2024-02-20
299,525,66,5,2024-02-08
300,681,41,5,2024-02-16
301,558,13,4,2024-02-16
302,261,31,2,2024-02-06
303,38,61,1,2024-03-02
304,590,21,5,2024-02-09
305,510,33,4,2024-02-25
306,649,90,5,2024-02-04
307,89,61,1,2024-02-26
308,36,72,1,2024-02-26
309,569,37,2,2024-02-22
310,121,77,5,2024-02-16
311,272,65,1,2024-02-14
312,65,82,4,2024-02-24
313,358,81,4,2024-03-01
314,452,25,4,2024-02-04
315,463,13,4,2024-02-12
316,737,52,1,2024-02-22
317,249,21,5,2024-03-02
318,57,76,2,2024-03-01
319,593,25,4,2024-02-26
320,99,21,5,2024-02-19
321,508,88,4,2024-02-23
322,37,51,3,2024-02-27
323,356,70,4,2024-02-25
324,720,27,5,2024-02-22
325,108,54,2,2024-02-26
326,602,74,5,2024-02-14
327,723,35,3,2024-02-22
328,409,74,5,2024-02-04
329,532,36,1,2024-02-21
330,636,53,1,2024-02-07
331,654,52,2,2024-02-18
332,433,64,3,2024-02-10
333,631,52,1,2024-02-22
334,422,79,1,2024-02-02
335,467,20,1,2024-02-08
336,631,69,4,2024-02-21
337,121,90,1,2024-02-23
338,658,49,4,2024-02-07
339,81,71,1,2024-02-03
340,194,78,5,2024-02-23
341,424,34,4,2024-02-19
342,258,67,3,2024-02-13
343,554,100,4,2024-02-03
344,334,59,3,2024-02-09
345,723,97,4,2024-02-20
346,51,39,2,2024-02-11
347,366,75,5,2024-02-13
348,794,26,5,2024-02-14
349,794,44,5,2024-02-02
350,174,10,1,2024-02-09
351,645,29,2,2024-02-09
352,16,29,4,2024-03-02
353,107,19,2,2024-02-05
354,692,48,5,2024-02-11
355,542,80,3,2024-02-08
356,70,27,4,2024-02-21
357,694,54,4,2024-02-28
358,375,78,3,2024-02-06
359,303,34,5,2024-02-27
360,346,55,2,2024-02-21
361,373,95,5,2024-02-10
362,24,60,5,2024-02-14
363,201,60,2,2024-02-12
364,609,20,5,2024-02-05
365,594,93,5,2024-02-20
366,551,96,3,2024-02-10
367,17,49,3,2024-02-14
368,158,40,4,2024-03-02
369,722,24,3,2024-02-13
370,245,41,5,2024-02-28
371,314,99,3,2024-02-12
372,384,23,2,2024-02-29
373,80,100,3,2024-02-02
374,477,32,3,2024-02-09
375,92,85,5,2024-02-26
376,778,31,2,2024-02-26
377,360,83,1,2024-02-15
378,330,54,1,2024-02-18
379,674,79,4,2024-03-01
380,419,96,1,2024-02-25
381,176,72,1,2024-02-03
382,159,88,5,2024-02-17
383,191,33,2,2024-02-11
384,496,57,4,2024-02-19
385,446,19,5,2024-02-25
386,465,95,2,2024-02-11
387,249,64,1,2024-02-02
388,535,25,2,2024-02-09
389,686,60,3,2024-02-24
390,642,92,3,2024-02-08
391,112,20,3,2024-02-06
392,132,72,2,2024-02-05
393,189,80,1,2024-02-02
394,520,31,5,2024-02-15
395,227,76,4,2024-02-22
396,386,79,5,2024-03-01
397,604,90,3,2024-02-19
398,6,79,5,2024-02-17
399,505,14,5,2024-02-24
400,696,21,4,2024-02-23
401,750,86,5,2024-02-29
402,210,42,2,2024-02-16
403,745,58,2,2024-02-05
404,2,96,5,2024-03-01
405,4,35,3,2024-02-22
406,39,28,5,2024-02-09
407,173,92,1,2024-02-04
408,507,83,2,2024-02-27
409,291,73,1,2024-02-17
410,201,86,2,2024-02-23
411,498,30,1,2024-02-21
412,593,29,5,2024-02-03
413,368,87,3,2024-02-16
414,615,84,2,2024-02-06
415,768,84,4,2024-02-20
416,267,17,1,2024-02-21
417,210,75,2,2024-02-20
418,749,88,3,2024-02-14
419,749,52,4,2024-02-08
420,409,84,2,2024-02-24
421,786,19,5,2024-02-16
422,70,71,2,2024-02-14
423,43,85,3,2024-02-06
424,446,40,5,2024-02-29
425,262,76,2,2024-02-20
426,539,40,2,2024-02-20
427,354,28,1,2024-02-08
428,487,44,1,2024-02-12
429,562,36,4,2024-02-18
430,7,97,2,2024-02-09
431,571,62,3,2024-02-17
432,467,48,4,2024-02-14
433,371,15,5,2024-02-15
434,504,60,5,2024-02-21
435,649,55,2,2024-02-16
436,699,87,1,2024-03-02
437,30,76,2,2024-02-15
438,772,76,2,2024-02-04
439,606,78,1,2024-02-24
440,181,45,2,2024-02-25
441,313,89,2,2024-02-27
442,24,15,2,2024-02-24
443,181,39,4,2024-02-20
444,275,63,5,2024-02-09
445,187,37,3,2024-02-12
446,287,16,3,2024-02-25
447,702,57,1,2024-02-09
448,216,47,5,2024-03-01
449,54,10,4,2024-02-03
450,358,91,4,2024-02-24
451,115,46,3,2024-02-04
452,85,76,3,2024-02-08
453,272,21,5,2024-02-15
454,635,73,4,2024-03-01
455,430,24,5,2024-02-19
456,164,21,2,2024-02-08
457,592,41,2,2024-02-24
458,342,44,2,2024-02-25
459,673,15,1,2024-02-12
460,395,18,2,2024-02-27
461,621,82,5,2024-02-14
462,229,42,5,2024-02-04
463,57,30,5,2024-02-14
464,217,100,3,2024-02-19
465,668,30,4,2024-02-10
466,444,72,2,2024-02-21
467,72,69,2,2024-02-05
468,516,68,2,2024-02-23
469,340,28,2,2024-03-02
470,592,25,2,2024-02-10
471,493,65,5,2024-02-04
472,745,40,2,2024-02-20
473,608,60,4,2024-02-16
474,509,33,5,2024-02-29
475,646,89,5,2024-02-10
476,576,34,2,2024-02-21
477,591,54,3,2024-02-12
478,791,99,5,2024-02-06
479,25,56,3,2024-02-26
480,701,48,1,2024-02-15
481,481,34,3,2024-02-13
482,286,89,5,2024-02-06
483,737,77,5,2024-02-03
484,559,67,5,2024-02-16
485,465,55,1,2024-02-13
486,60,43,2,2024-02-10
487,209,95,2,2024-02-10
488,419,97,1,2024-02-11
489,293,98,2,2024-02-11
490,334,57,5,2024-02-16
491,14,40,2,2024-02-05
492,326,67,1,2024-02-03
493,418,60,3,2024-02-24
494,52,29,3,2024-02-02
495,162,26,4,2024-02-12
496,527,68,1,2024-02-24
497,574,65,3,2024-02-29
498,366,67,3,2024-02-20
499,421,27,3,2024-02-16
500,358,20,4,2024-02-19
501,305,72,5,2024-02-27
502,154,12,3,2024-02-24
503,652,37,5,2024-02-27
504,81,43,4,2024-02-13
505,473,74,4,2024-02-29
506,537,72,2,2024-02-15
507,544,98,5,2024-02-04
508,292,73,5,2024-02-08
509,65,44,4,2024-02-28
510,435,41,3,2024-02-28
511,693,54,2,2024-03-01
512,463,20,5,2024-02-10
513,107,97,3,2024-02-19
514,13,79,2,2024-02-07
515,606,40,3,2024-02-22
516,422,73,5,2024-02-08
517,572,81,3,2024-03-02
518,379,45,1,2024-02-15
519,89,81,4,2024-02-08
520,501,58,3,2024-02-19
521,540,70,4,2024-03-01
522,553,89,4,2024-02-06
523,182,35,4,2024-02-29
524,557,91,3,2024-03-02
525,90,96,5,2024-02-06
526,268,26,1,2024-02-23
527,385,11,2,2024-02-14
528,697,20,3,2024-03-02
529,788,10,5,2024-02-14
530,278,96,2,2024-02-11
531,161,29,1,2024-02-26
532,793,66,2,2024-02-13
533,499,22,4,2024-02-10
534,721,37,2,2024-02-25
535,1,14,4,2024-02-11
536,374,54,2,2024-02-21
537,173,33,4,2024-02-18
538,512,73,4,2024-02-06
539,697,18,4,2024-02-09
540,659,31,4,2024-02-11
541,603,22,4,2024-02-05
542,209,60,5,2024-02-21
543,271,56,1,2024-02-08
544,649,95,1,2024-02-20
545,436,93,4,2024-02-12
546,638,72,5,2024-02-26
547,198,62,1,2024-02-23
548,689,70,3,2024-02-03
549,125,99,5,2024-02-28
550,498,73,4,2024-02-26
551,165,93,3,2024-02-14
552,690,28,5,2024-02-07
553,520,72,4,2024-02-16
554,160,54,2,2024-02-14
555,542,36,2,2024-02-09
556,484,87,5,2024-02-25
557,356,80,4,2024-02-06
558,583,13,4,2024-02-26
559,180,25,2,2024-02-04
560,261,26,2,2024-02-17
561,130,88,3,2024-02-26
562,205,39,5,2024-02-24
563,277,54,5,2024-02-03
564,24,88,5,2024-02-29
565,669,62,5,2024-02-11
566,386,54,1,2024-02-06
567,603,26,4,2024-02-24
568,249,93,3,2024-02-22
569,768,73,2,2024-02-19
570,127,29,1,2024-03-02
571,742,42,2,2024-02-28
572,30,91,2,2024-02-19
573,282,35,1,2024-02-05
574,292,93,1,2024-02-22
575,579,46,4,2024-02-28
576,302,63,1,2024-02-18
577,175,70,3,2024-02-08
578,788,75,3,2024-02-07
579,33,95,3,2024-02-03
580,371,41,3,2024-02-26
581,654,69,1,2024-02-25
582,272,18,5,2024-02-13
583,416,84,4,2024-02-09
584,735,86,1,2024-02-07
585,637,29,2,2024-02-08
586,705,73,4,2024-02-20
587,356,85,5,2024-02-14
588,4,16,5,2024-02-06
589,742,45,2,2024-02-15
590,249,67,2,2024-02-14
591,679,37,2,2024-02-22
592,543,54,1,2024-02-03
593,734,96,5,2024-02-27
594,470,56,5,2024-02-02
595,83,31,5,2024-02-10
596,459,38,1,2024-02-27
597,40,85,1,2024-03-01
598,766,88,3,2024-02-18
599,736,65,3,2024-02-26
600,126,71,2,2024-02-22
601,420,100,2,2024-02-14
602,763,94,4,2024-02-13
603,767,60,1,2024-02-27
604,458,26,5,2024-03-01
605,202,35,4,2024-02-13
606,626,71,5,2024-02-12
607,270,78,4,2024-02-22
608,160,34,2,2024-02-26
609,364,20,1,2024-02-27
610,409,74,4,2024-02-20
611,606,58,5,2024-02-25
612,182,31,3,2024-03-01
613,109,83,1,2024-02-06
614,557,92,1,2024-02-14
615,90,79,1,2024-02-07
616,369,66,5,2024-02-16
617,444,85,4,2024-02-12
618,575,15,3,2024-02-09
619,385,40,1,2024-02-22
620,8,21,1,2024-02-11
621,518,14,5,2024-02-06
622,625,92,1,2024-02-04
623,163,82,3,2024-02-25
624,569,66,4,2024-02-10
625,127,62,4,2024-02-08
626,525,63,5,2024-02-11
627,370,56,1,2024-02-14
628,754,24,5,2024-02-11
629,646,11,2,2024-02-23
630,425,18,1,2024-02-05
631,336,45,4,2024-02-25
632,492,15,5,2024-02-29
633,242,12,3,2024-02-16
634,110,57,3,2024-02-09
635,67,75,5,2024-02-16
636,284,70,4,2024-02-28
637,712,93,4,2024-02-02
638,679,78,1,2024-02-27
639,575,20,3,2024-02-13
640,3,32,3,2024-02-26
641,289,78,3,2024-02-13
642,136,63,3,2024-02-25
643,298,44,2,2024-02-03
644,69,17,2,2024-02-20
645,137,22,5,2024-02-25
646,351,87,1,2024-02-29
647,482,57,4,2024-03-01
648,301,36,2,2024-02-22
649,504,64,1,2024-02-19
650,627,96,3,2024-03-02
651,66,10,5,2024-02-09
652,657,56,3,2024-02-11
653,96,49,3,2024-02-06
654,482,80,4,2024-02-12
655,549,44,4,2024-02-24
656,737,31,5,2024-02-29
657,589,50,3,2024-02-04
658,523,13,5,2024-02-15
659,476,57,2,2024-02-10
660,128,56,2,2024-02-22
661,558,86,5,2024-02-07
662,710,70,1,2024-02-27
663,379,75,3,2024-02-21
664,247,17,5,2024-02-28
665,417,95,1,2024-02-13
666,22,59,3,2024-02-27
667,381,15,4,2024-02-25
668,386,14,1,2024-02-06
669,196,70,5,2024-02-28
670,382,18,2,2024-02-09
671,345,76,4,2024-02-03
672,386,54,3,2024-02-10
673,38,37,1,2024-02-26
674,402,15,2,2024-02-02
675,356,87,3,2024-02-20
676,724,35,5,2024-02-21
677,148,21,3,2024-02-25
678,513,49,4,2024-02-12
679,673,19,2,2024-02-21
680,213,14,4,2024-02-09
681,186,66,3,2024-02-24
682,228,24,4,2024-02-26
683,278,100,2,2024-02-21
684,636,74,5,2024-02-19
685,218,98,5,2024-02-25
686,469,11,3,2024-02-02
687,627,91,2,2024-02-28
688,66,81,2,2024-02-02
689,524,100,5,2024-02-28
690,694,97,4,2024-02-02
691,310,46,1,2024-02-02
692,745,23,5,2024-02-03
693,750,31,4,2024-02-25
694,112,48,1,2024-02-27
695,562,47,1,2024-02-09
696,409,89,5,2024-02-15
697,523,20,4,2024-02-11
698,661,44,3,2024-02-08
699,176,22,1,2024-02-28
700,641,59,4,2024-02-22
701,65,81,4,2024-02-14
702,727,100,1,2024-02-19
703,446,18,5,2024-02-29
704,97,39,5,2024-02-23
705,428,17,2,2024-02-02
706,601,69,2,2024-02-17
707,582,80,4,2024-02-02
708,81,26,4,2024-02-05
709,232,20,4,2024-02-16
710,88,43,4,2024-02-02
711,736,100,5,2024-02-15
712,708,72,5,2024-02-13
713,505,57,1,2024-02-03
714,537,22,3,2024-02-21
715,391,35,1,2024-02-26
716,677,70,2,2024-02-19
717,289,31,3,2024-02-03
718,253,88,1,2024-02-03
719,697,74,1,2024-02-23
720,452,70,3,2024-02-24
721,789,60,4,2024-02-10
722,689,94,5,2024-02-06
723,604,69,3,2024-02-22
724,111,44,1,2024-03-02
725,190,44,1,2024-02-19
726,409,52,1,2024-02-14
727,696,65,2,2024-02-17
728,235,27,5,2024-03-01
729,491,93,5,2024-02-25
730,381,20,1,2024-02-07
731,365,91,4,2024-02-23
732,755,36,5,2024-02-12
733,140,29,5,2024-02-07
734,146,27,3,2024-02-25
735,311,80,4,2024-02-20
736,274,44,1,2024-02-26
737,138,24,5,2024-03-02
738,34,10,1,2024-02-06
739,730,98,1,2024-02-26
740,441,87,1,2024-02-21
741,339,65,2,2024-02-02
742,644,35,3,2024-02-19
743,663,87,3,2024-02-27
744,23,42,3,2024-02-11
745,149,27,5,2024-02-12
746,329,40,3,2024-02-28
747,311,95,2,2024-02-08
748,181,58,4,2024-02-08
749,782,65,4,2024-02-27
750,409,44,5,2024-03-02
751,696,39,2,2024-02-15
752,248,68,3,2024-02-28
753,495,13,1,2024-02-29
754,766,84,5,2024-02-13
755,202,63,2,2024-02-17
756,409,57,3,2024-03-02
757,433,20,2,2024-02-28
758,45,37,5,2024-02-08
759,359,42,5,2024-02-23
760,144,78,5,2024-02-17
761,472,55,3,2024-02-13
762,391,28,2,2024-02-26
763,741,69,2,2024-02-15
764,732,100,5,2024-02-02
765,365,17,4,2024-02-06
766,695,53,4,2024-02-25
767,132,60,1,2024-03-01
768,418,98,2,2024-02-23
769,436,67,4,2024-02-28
770,197,99,3,2024-02-12
771,687,21,3,2024-02-05
772,319,51,4,2024-02-24
773,239,59,4,2024-02-20
774,286,29,5,2024-02-28
775,658,46,5,2024-02-25
776,790,60,5,2024-02-10
777,605,66,5,2024-02-04
778,329,77,4,2024-02-24
779,553,15,3,2024-02-21
780,288,19,3,2024-02-12
781,363,37,2,2024-02-05
782,448,100,5,2024-02-08
783,790,61,2,2024-02-23
784,73,47,1,2024-02-14
785,64,15,3,2024-02-21
786,420,29,5,2024-02-24
787,75,39,2,2024-02-27
788,496,65,5,2024-02-05
789,79,21,1,2024-02-09
790,762,27,1,2024-02-26
791,400,33,1,2024-02-15
792,606,63,2,2024-02-07
793,487,37,4,2024-02-09
794,545,93,2,2024-02-25
795,751,96,4,2024-03-02
796,279,58,4,2024-02-22
797,763,88,2,2024-02-16
798,197,76,5,2024-02-10
799,22,56,5,2024-02-25
800,174,45,2,2024-02-02
